"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-05",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-06",,,,,"0.36",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-07",,,,,"0.20",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-08",,,,,"1.94",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-09",,,,,"0.00","T,,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-10",,,,,"0.00","T,,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-11",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-12",,,,,"0.00","T,,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-13",,,,,"0.07",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-14",,,,,"0.00","T,,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-15",,,,,"0.03",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-16",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-17",,,,,"0.24",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-18",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-19",,,,,"1.53",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-20",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-21",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-22",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-24",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-25",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-26",,,,,"0.00","T,,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-27",,,,,"0.04",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-28",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-29",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-04-30",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-01",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-02",,,,,"0.14",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-03",,,,,"0.04",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-06",,,,,"0.01",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-07",,,,,"1.13",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-08",,,,,"0.70",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-09",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-10",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-11",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-12",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-13",,,,,"0.00","T,,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-14",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-15",,,,,"0.62",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-16",,,,,"0.00","T,,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-17",,,,,"0.09",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-18",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-19",,,,,"0.71",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-20",,,,,"0.03",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-21",,,,,"0.43",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-22",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-23",,,,,"0.12",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-24",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-25",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-26",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-27",,,,,"0.00","T,,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-28",,,,,"1.75",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-29",,,,,"0.30",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-30",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-05-31",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-06-01",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-06-02",,,,,"0.86",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-06-03",,,,,"0.94",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-06-04",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-06-05",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-06-06",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-06-07",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-06-08",,,,,"0.18",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-06-09",,,,,"0.99",",,N",,,,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-06-10",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2022-06-13",,,,,"0.05",",,N",,,,,,,,,,,,
